facility_id,facility_name,district,region,commodity_id,commodity_name,period,consumption,issues,stock_on_hand,days_stock_out,outpatient_visits
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-01,1245,1245,450,0,3420
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-02,1380,1350,320,0,3650
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-03,1190,1190,580,0,3180
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-04,1450,1420,210,3,3890
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-05,1320,1320,380,0,3550
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-06,1285,1285,520,0,3410
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-07,1510,1480,180,5,4020
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-08,1390,1390,310,0,3720
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-09,1260,1260,490,0,3350
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-10,1420,1400,250,2,3800
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-11,1345,1345,420,0,3590
F001,Central Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-12,1480,1450,190,4,3950

F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-01,320,310,180,0,1240
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-02,380,370,120,2,1380
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-03,290,290,210,0,1150
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-04,410,400,80,5,1490
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-05,350,350,150,0,1320
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-06,310,300,190,1,1190
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-07,420,410,60,7,1520
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-08,370,370,130,0,1410
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-09,300,290,200,2,1180
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-10,390,380,90,4,1450
